huc_6,n,huc_pca_ratio,pca_huc_ratio
70300,p46,0.544302098,0.20957281
70200,p37,0.000146906,6.68E-05
101702,p44,0.165140802,0.19071291
101702,p45,0.154906082,0.063093945
80701,p58,0.999670283,0.005827902
80701,p87,0.000329717,2.19E-06
20301,p127,0.320888631,0.024093649
20301,p126,0.672865067,0.317535514
20301,p132,0.006246302,0.004470083
100800,p18,0.156025271,0.06931396
100800,p24,0.022795309,0.016524309
100800,p20,0.008739545,0.008221652
100800,p22,0.016070035,0.054880484
100800,p21,0.796369841,0.368449789
30300,p97,0.130729729,0.060477831
30300,p98,0.869270271,0.268168054
30902,p102,0.527220862,0.782405535
30902,p101,0.472779137,0.14185926
111003,p50,0.850467412,0.101670769
111003,p51,0.149532588,0.079483349
20403,p99,0.002336028,0.000243682
170800,p5,0.210589401,0.026399551
150302,p28,0.537817101,0.036677853
150302,p27,0.462182899,0.184343223
111002,p48,0.463835304,0.049393114
111002,p50,0.286122603,0.020220124
111002,p49,0.250042093,0.162243105
41300,p119,0.027214699,0.022202169
41300,p127,0.972785301,0.072333304
40500,p103,0.663918743,0.1983676
40500,p104,0.204505468,0.93988213
40500,p105,0.131575789,0.087812707
51201,p81,0.084109307,0.065778043
71000,p70,0.489028594,0.261192588
71000,p45,0.400373182,0.266541067
102200,p40,0.846169925,0.116679146
102200,p41,0.153830075,0.153664181
30201,p98,0.999999999,0.16049941
110100,p85,0.274007253,0.15756238
110100,p73,0.042374155,0.181504285
110100,p56,0.251200455,0.392112509
110100,p55,0.193210387,0.301712893
110100,p84,0.23920775,0.425581121
180300,p10,0.632544664,0.159748564
180300,p9,0.367455336,0.081953162
100301,p18,0.837608974,0.17291062
